"Сенаторы признали Украину ""неуправляемой проблемой"" для США","По данным издания, на встрече в США американские политики раскритиковали украинские власти за рост радикализма и наступление на свободу слова.",politics
Северокорейское досье-2018: Вашингтон испортил всю игру,"Вашингтон под конец года решил обнулить, ну, или в значительной степени нивелировать собственные же усилия по северокорейскому урегулированию. Нет, это ведь еще надо было умудриться. США ввели санкции сразу против трех высокопоставленных чиновников из КНДР, включая главного помощника Ким Чен Ына. В Пхеньяне отнеслись к этой причудливой инициативе американских ""партнеров"" с непониманием и заявили, что готовы прекратить все усилия по денуклеаризации полуострова. У американцев что – чесалось без этих абсолютно не обязательных санкций?",politics
Песков рассказал о подготовке поездки Путина в Калининградскую область,"Поездка президента РФ Владимира Путина в Калининградскую область готовится, сообщил РИА Новости пресс-секретарь российского лидера Дмитрий Песков.",politics
Не смешно. Британцы испугались российского юмора,"Би-би-си нам сообщает, что в дни умирающего Советского Союза русские использовали юмор, чтобы сбежать от мрачной реальности. Чехов и Зощенко, видимо, просто знали заранее и подготовились. Ярчайшим примером российского эскапизма британцы назвали телевизионное шоу ""Куклы"", которое появилось в 90-е годы. Там политиков изображали их резиновые копии.",politics
"Орешкин прокомментировал переезд ведомств в ""Москва-Сити""","Переезд центральных аппаратов ряда ведомств в ""Москва-Сити"" в 2019 году повысит их эффективность и поможет снизить затраты, сообщил глава Минэкономразвития РФ Максим Орешкин.Переезд центральных аппаратов ряда ведомств в ""Москва-Сити"" в 2019 году повысит их эффективность и поможет снизить затраты, сообщил глава Минэкономразвития РФ Максим Орешкин.
Правительство РФ 4 января согласовало переезд центральных аппаратов Минпромторга, Минкомсвязи, Минэкономразвития, Ростуризма, Росимущества и ряда других ведомств на территорию московского международного делового центра ""Москва-Сити"".",politics
"резидент новый, цели старые: изменится ли политический курс Грузии?","Грузия вступила в новый год с новым президентом и новой конституцией, вот только отношение к России осталось старым.В минувшем году в Грузии состоялись особенные президентские выборы. Впервые глава государства избирался на шестилетний срок, впервые для выявления победителя потребовался второй тур, впервые президентом Грузии стала женщина – Саломе Зурабишвили.",politics
Замминистра здравоохранения Елена Бойко будет отвечать за цифровизацию,"Новый заместитель министра здравоохранения РФ Елена Бойко станет седьмым замом и будет отвечать за цифровизацию медицинской отрасли в России, сообщили РИА Новости в пресс-службе Минздрава РФ.",politics
Медведев назначил Арсена Гаглоева замминистра по делам Северного Кавказа,"Премьер-министр РФ Дмитрий Медведев подписал распоряжение о назначении Арсена Гаглоева заместителем министра РФ по делам Северного Кавказа, документ опубликован на сайте кабмина.",politics
Медведев назначил Светлану Кочетову заместителем руководителя Рособрнадзора,"Премьер-министр России Дмитрий Медведев подписал распоряжение о назначении Светланы Кочетовой заместителем руководителя Федеральной службы по надзору в сфере образования и науки (Рособрнадзор), документ опубликован на сайте кабмина.",politics
Ученье – свет. Французские СМИ раскрыли секрет Путина,"Французские эксперты этим случаем впечатлились и использовали его как иллюстрацию того, как важно учить географию. Они отметили, что Путин выгодно смотрится на фоне тех мировых лидеров, которые не могут отличить суннитов от шиитов.",politics
В Москве в 2019 году ограничат движение по ряду улиц,"Движение по ряду улиц в Москве будет ограничено в 2019 году в связи с реконструкцией инженерных сетей и строительными работами, сообщается на официальном портале мэра и правительства столицы.",society
"Кулаки, огонь и дым - массовые протесты продолжаются во Франции","Во Франции продолжаются массовые протесты ""желтых жилетов"". В последнем митинге приняли участие около 50 тысяч человек,они требовали не повышать налоги на бензин и выступали против социальной ситуации в стране. Это уже восьмой раунд манифестаций с 17 ноября.",society
Дачников обязали сообщать властям о перестройке домов,"Владельцы земельных участков будут обязаны уведомлять местные власти о планах по строительству и реконструкции домов, сообщает ""Российская газета"" со ссылкой на Росреестр.
Изменения касаются как индивидуальных, так и садовых построек. Дачники, начавшие работы до 4 августа 2018 года, могут подать документы до 1 марта, когда уведомительный порядок станет обязательным. Иначе возможны проблемы при регистрации прав собственности.",society
В Москве на Рождество ожидаются морозы до 17 градусов,"Морозы до 17 градусов и облачная погода с прояснениями без осадков ожидаются в Москве 7 января, в Подмосковье возможны холода до минус 24 градусов, сообщили РИА Новости в центре погоды ""Фобос"".",society
В Госдуме предложили ввести допвыплаты жителям районов без детских садов,"Депутат Госдумы Виталий Милонов предложил премьер-министру РФ Дмитрию Медведеву учредить дополнительные социальные выплаты для семей, проживающих в районах без достаточного количества детских садов.",society
"В Магнитогорске обсудят вопрос о мемориале у дома, где взорвался газ","Вопрос о создании мемориала погибшим при взрыве газа в доме в Магнитогорске пока обсуждается, есть мнения за и против, сообщил РИА Новости мэр города Сергей Бердников.",society
"Каникулы не препятствие для работы, заявила Кузнецова","полномоченный при президенте РФ по правам ребенка Анна Кузнецова рассказала, что не против длинных выходных на Новый год, поскольку каникулы не препятствие для того, чтобы делать свою работу.",society
В России появится новая профессия," ближайшие 10 лет в России появится профессия комиссара по регулированию аварийных ситуаций с беспилотными транспортными средствами, сообщили РИА Новости в пресс-службе НТИ ""Автонет"".",society
Семья из Волгограда живет в однокомнатной квартире с волком," В однокомнатной квартире в Волгограде собралась интересная компания: отец с дочерью, две собаки и волк. Полтора года назад Лебедевы спасли дикого зверя от смерти и забрали домой. Серый не кусается, только лижет руки, любит долго гулять и играет с собаками в догонялки. Легко ли приручить хищника",society
"""Не салатом единым"". Что полезно делать на Рождество","В ночь на понедельник православные христиане встретят Рождество Христово. С этим праздником связано множество традиций — какие из них чисто народные, какие ""сертифицированы"" Церковью и что, собственно, празднуют верующие, узнал корреспондент РИА новости.",society
"В Центробанке рассказали, как изменится ОСАГО к 2021 году"," 2020-2021 году в полисе ОСАГО могут исчезнуть территориальный коэффициент и коэффициент мощности. Об этом в интервью ""Российской газете"" рассказал начальник управления надзора за деятельностью субъектов страхового рынка ГУ ЦБ по Центральному федеральному округу Кирилл Табаков.",society
"Правительство создало ОЭЗ ""Центр"" в Воронежской области","Создать особую экономическую зону промышленно-производственного типа ""Центр"" на территории муниципального образования Новоусманский муниципальный район Воронежской области на земельных участках, определяемых соглашением о создании особой экономической зоны промышленно-производственного типа"", - говорится в документе.",economy
В России внедрят новую систему контроля качества бензина,"В России может появиться система контроля качества топлива от нефтеперерабатывающего завода до бензобака. Об этих планах правительства ""Российской газете"" рассказал глава Минпромторга Денис Мантуров.
Пилотный проект системы запустят в первой половине 2019 года в Северо-Западном федеральном округе.",economy
Дорожный фонд Саратовской области в 2019 году превысит 11 миллиардов рублей,"Дорожный фонд Саратовской области в этом году планируется в размере почти 11,15 миллиарда рублей, сообщил РИА Новости заместитель министра транспорта и дорожного хозяйства региона Сергей Балакин.
""В 2018 году объем дорожного фонда Саратовской области составил 9,05 миллиарда рублей. Произведен ремонт и капитальный ремонт 96,509 километра и построено 12,67 километра дорог. В 2019 году дорожный фонд области запланирован в объеме 11,15 миллиарда рублей, предполагается ремонт и капремонт 221,8 километра дорог"", - сказал собеседник агентства.",economy
"Что скажешь, Илон Маск? В этом году Tesla может обанкротиться","В июне из финансовой отчетности выяснилось, что почти 20% клиентов, внесших предоплату за Tesla Model 3, потребовали компенсации за невыполненные заказы — снова падение котировок. Не добавила оптимизма акционерам и новость о том, что из-за долгов Tesla попросила поставщиков запчастей вернуть деньги, ранее выплаченные в качестве предоплаты за поставки.
Но затем Маск совершил маленькое чудо: поскольку двух сборочных линий не хватало, чтобы выйти на запланированные объемы, построили третью — под навесом на автостоянке компании.
""Никто не ожидал, что мы оборудуем конвейер на парковке, — напомнил Илон Маск в конце года в интервью телепрограмме ""60 минут"". — Но мы это сделали, и третья сборочная линия позволила увеличить выпуск автомобилей на 50%"".",economy
Как считать российскую экономику,"Второго января глава Счетной палаты России Алексей Кудрин опубликовал результаты расчетов ключевых параметров российской экономики за 2018 год, зафиксировав серьезные расхождения между прогнозами, сделанными в 2017 и 2018 годах, и результатами самого 2018 года: ""СП [Счетная палата] дает предварительную оценку на конец года: инфляция — выше прогноза, рост ВВП — ниже, реальные доходы граждан если и выросли, то на десятые доли процента. Правительству пока приходится начинать с низкого старта"", — написал Кудрин в своем твиттер-аккаунте, сопроводив свою оценку несколькими инфографиками.",economy
"В Минтруде рассказали, кто в мире работает больше россиян","У россиян одна из самых продолжительных рабочих недель и достаточно большой объем рабочих часов в год. Об этом в интервью ""Российской газете"" рассказал глава ВНИИ труда Минтруда России Дмитрий Платыгин.
Он пояснил, что в среднем фонд рабочего времени одного работника в России (1978 часов в год) превышает аналогичный показатель стран Организации экономического сотрудничества и развития, где среднее значение — 1766 часов в год. Так, в США этот показатель составляет 1790 часов, в Канаде — 1706, во Франции — 1482, Германии — 1371.",economy
"Ирак больше всех страдает от санкций против Ирана, заявили в Багдаде","По его словам, колебания в ценах на нефть также вредят Ираку. Ирак не рассматривает получение пользы за счет вреда соседним странам.
""Ирак состоит в ОПЕК, которая организует процесс производства нефти на мировом уровне. Была историческая договоренность между производителями внутри ОПЕК и за пределами ОПЕК, следовательно, эта договоренность не дает государству действовать в одностороннем порядке. Решение является общим решением, и так как решение общее, оно пойдет на пользу всем"", - заявил представитель министерства.",economy
"Российский газ радует глаз. Что ждет ""Газпром"" в новом году","Минувший год оказался чрезвычайно успешным для ""Газпрома"". За десять месяцев добыча природного газа увеличилась до 451 миллиарда кубометров, а доход от экспорта топлива в дальнее зарубежье, по данным ФТС, достиг 29,8 миллиарда долларов. Какие проекты позволят главному российскому экспортеру приумножить успех в наступившем году",economy
"СМИ: в сенате США подготовили резолюцию против снятия санкций с ""Русала""","Лидер демократов в американском сенате Чак Шумер заявил, что он подготовил резолюцию, направленную против решения Министерства финансов США снять санкции с подконтрольных бизнесмену Олегу Дерипаске компаний En+, ""Русал"" и ""Евросибэнерго"", сообщает издание Daily Beast.
В декабре Минфин США сообщил, что намерен через 30 дней исключить из санкционного списка En+, ""Русал"" и ""Евросибэнерго"", подконтрольные Олегу Дерипаске, поскольку бизнесмен сократит свою долю в них. Сам Дерипаска при этом останется в списке. Его активы, в которых ему принадлежит 50% и более, останутся заблокированными.",economy
Эрдоган планирует посетить Россию в январе,"Президент Турции Тайип Эрдоган намерен в январе нанести визит в Россию, сообщили РИА Новости в пресс-службе Эрдогана.
""Наш президент нанесёт визит в Россию в течение января, точная дата пока не определена"", - сказали агентству в пресс-службе Эрдогана.",world
"Польская полиция задержала хозяина квест-рума, где сгорели пять человек","Польская полиция задержала хозяина квест-рума, где при пожаре погибли пять девушек, заявил главный комендант полиции Польши Ярослав Шимчик на пресс-конференции в Варшаве в воскресенье.
В пятницу пять несовершеннолетних девушек погибли при пожаре в ходе игрового квеста в польском Кошалине, еще один человек тяжело пострадал.
",world
В Сеть случайно попала фотография сборки самой большой ракеты Маска,"На снимок попала разобранная сверхтяжелая ракета SpaceX Starship, строящаяся здесь.
Позже глава компании Илон Маск подтвердил, что на фото запечатлен процесс сборки самой тяжелой ракеты компании.
Предприниматель также опубликовал изображение, как будет выглядеть ракета в собранном виде.",world
"В ЛНР из-за снегопада более 2,4 тысячи квартир и домов остаются без света","Более 2,4 тысячи абонентов остались без электроснабжения в самопровозглашенной Луганской народной республике из-за аварий вследствие снегопада, заявили в субботу РИА Новости в министерстве чрезвычайных ситуаций ЛНР.
""В системе ЖКХ республики действуют 4 аварийных ситуации"", - рассказали в ведомстве.",world
"Порошенко пообещал, что на Украине будут уважать свободу вероисповедания","Президент Украины Петр Порошенко после получения томоса об автокефалии ""новой церкви"" заявил, что в стране будут уважать свободу вероисповедания.
Ранее украинские власти, в том числе президент, заявляли, что не намерены вмешиваться в дела церкви, но делают это постоянно. Так, несмотря на обещания, Порошенко добился от Константинополя признания неканонической церкви на Украине, которое в РПЦ назвали раскольническим. Рада Украины приняла закон о передаче Андреевской церкви Константинопольскому патриархату.",world
В МИД Канады заявили о задержании в Сирии канадского гражданина,"Министерство иностранных дел Канады заявило, что в ведомстве осведомлены о задержании в Сирии канадского гражданина, однако страна обладает ""крайне ограниченной"" возможностью помочь задержанному канадцу, передает телеканал CTV News.
По информации телеканала, Кристиан Ли Бакстер, проживающий в Британской Колумбии (провинция на западе Канады), поехал в Сирию в ноябре. Как рассказала мать 44-летнего канадца, Бакстер перестал выходить на связь после того, как в последний раз отправил сообщение 1 декабря. Указывается, что причиной задержания Бакстера стал металлический детектор, который он перевозил в чемодане.",world
"Сенаторы признали Украину ""неуправляемой проблемой"" для США","Сенаторы-республиканцы выразили представителям украинских общественных организаций недовольство политикой Киева, сообщает International Policy Digest.
По данным издания, на встрече в США американские политики раскритиковали украинские власти за рост радикализма и наступление на свободу слова.
Кроме того, сенаторы указали собеседникам на ""непродуктивную экономическую политику"" Украины. В частности, речь идет о нерациональном расходовании средств, выделяемых Киеву международными финансовыми институтами. По мнению американских политиков, из-за запредельной коррупции и ""непродуктивных расходов"" на конфликт в Донбассе кредиты растрачиваются впустую. Это сказывается на ВВП, снижение которого, в частности, приводит к утечке рабочей силы из страны.",world
В перевернувшемся в Таиланде автобусе с туристами не было россиян,"Россияне не пострадали в результате ДТП с автобусом в центральной части Таиланда, сообщило посольство РФ в Бангкоке.
Ранее сообщалось, что шесть человек погибли и около 50 пострадали в результате ДТП с двухэтажным туристическим автобусом в районе Кхлонг Луанг. По данным СМИ, авария произошла во время дождя. Водитель резко затормозил, чтобы избежать столкновения с автомобилем, ехавшим перед ним, в результате чего автобус перевернулся.",world
"В УПЦ заявили об отсутствии площадки для диалога с ""новой церковью"" Украины","Площадка для диалога между канонической Украинской православной церковью и ""новой церковью"" пока отсутствует, заявил в воскресенье РИА Новости архиепископ УПЦ Климент (Вечеря).
""У нас есть Всеукраинский совет церквей – площадка для диалога. Поскольку киевский патриархат (непризнанная структура - ред.) и УАПЦ (непризнанная Украинская автокефальная православная церковь – ред.) сейчас расформировались, непонятно в каком формате будет дальше действовать эта организация. Именно Всеукраинский совет церквей давал возможность общего диалога между религиозными конфессиями Украины для решения насущных государственно-церковных вопросов. Теперь формат диалога неясен"", - заявил Климент.",world
